"('O', 'C', 1)","('N', 'H', 1)","('N', 'C', 1)","('N', 'C', 1.5)","('C', 'H', 1)","('C', 'C', 1)","('C', 'C', 1.5)"
3,1,6,0,29,9,6
3,1,3,0,24,9,3
0,3,4,0,26,14,0
3,3,1,2,13,5,4
1,2,6,0,21,7,0
0,2,5,2,26,9,4
2,3,4,0,18,8,6
0,3,8,0,19,4,3
0,3,4,4,22,9,8
6,1,2,0,19,8,6
0,2,4,0,21,9,0
2,3,1,3,19,8,0
0,4,6,0,23,6,6
0,1,2,2,16,7,1
1,1,3,2,21,9,4
0,2,10,2,25,12,10
4,0,3,0,25,11,0
2,2,5,0,25,9,6
2,4,6,0,20,10,0
0,3,10,0,30,10,0
2,1,3,0,22,5,12
4,1,3,1,26,8,8
2,1,8,0,32,12,6
0,3,4,2,19,7,7
2,2,6,0,21,7,12
2,1,5,2,28,10,4
0,2,5,0,27,10,0
1,2,5,0,22,9,6
3,2,5,0,28,11,6
1,2,8,0,33,13,6
0,4,3,0,17,6,0
1,3,4,0,11,5,0
4,3,10,0,30,9,6
0,3,10,0,28,10,0
2,2,9,0,34,12,6
1,0,6,4,25,11,8
4,2,8,0,32,10,6
2,3,4,0,16,6,6
2,1,7,0,27,8,6
0,4,9,0,22,7,6
0,1,2,0,18,10,3
2,4,4,0,18,10,0
0,3,7,0,24,6,12
0,2,14,0,28,8,6
2,2,5,2,21,7,4
0,4,7,0,25,9,0
0,2,2,2,21,8,7
4,3,4,0,24,12,0
0,3,4,0,28,15,0
2,2,2,0,24,9,6
0,1,6,0,25,9,6
2,1,5,0,28,15,0
2,3,4,0,24,8,0
4,0,6,4,28,13,7
1,2,2,0,15,8,6
0,5,9,0,27,9,0
2,3,5,0,20,7,0
2,5,5,0,21,11,0
4,1,3,4,29,13,13
2,1,3,2,20,6,7
0,2,6,2,19,11,8
0,3,8,3,22,6,6
0,2,4,2,25,14,1
2,3,7,0,22,10,0
4,4,3,0,27,13,6
5,1,3,0,20,7,6
2,1,2,0,21,9,6
0,2,6,0,23,8,9
1,3,1,0,28,17,0
0,1,2,0,21,9,6
1,2,5,0,17,4,6
0,2,5,0,31,16,0
0,1,6,2,26,8,12
0,4,3,0,25,15,0
0,3,2,2,14,4,9
2,3,7,2,15,3,10
1,3,8,0,24,8,12
2,3,1,0,29,18,0
2,0,0,0,14,12,0
2,3,5,0,25,8,0
4,2,4,0,18,9,6
6,2,5,0,29,7,6
0,3,5,0,16,8,0
0,2,5,0,17,7,0
0,4,3,0,20,9,12
1,2,5,4,28,10,8
4,2,5,0,27,8,0
2,1,5,0,16,7,6
1,2,8,0,31,9,12
2,0,0,0,20,11,0
2,2,5,0,25,10,3
2,0,6,0,21,13,0
0,0,0,0,19,8,0
5,2,5,0,34,13,6
1,1,3,4,19,5,14
1,2,11,0,20,5,6
2,2,5,2,22,8,4
1,0,1,0,10,3,12
0,5,6,0,28,12,0
0,3,5,0,14,5,6
0,3,11,0,35,12,0
0,4,3,0,17,7,6
1,4,4,0,25,11,0
4,1,2,2,15,7,4
0,3,11,0,31,7,6
0,1,3,2,20,6,1
1,2,5,2,23,8,10
0,3,8,0,28,12,0
0,3,5,0,13,6,0
0,1,3,0,28,12,0
1,1,6,2,30,9,9
0,1,9,2,23,7,4
2,2,8,0,17,8,6
0,3,3,0,15,10,6
2,1,10,0,16,4,0
3,1,3,0,36,21,0
0,1,5,0,23,11,0
2,3,4,0,18,7,0
4,2,2,0,26,9,6
0,4,7,0,25,12,0
3,2,2,0,19,3,12
1,3,5,0,19,7,6
0,1,6,0,32,14,0
0,4,10,0,28,12,0
